,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.7392307692307692,0.805668274019222,0.7665198237885462,0.8456865127582017,0.804159445407279,0.4213855217973142
Decision Tree,0.7692307692307693,0.752959337291853,0.8200734394124847,0.8140947752126367,0.8170731707317073,0.5046092693465155
kNN,0.7407692307692307,0.8003711430543774,0.7780320366132724,0.8262454434993924,0.8014142604596346,0.43079306407068324
Naive Bayes,0.6815384615384615,0.7419091068876713,0.7215601300108342,0.8092345078979344,0.7628865979381443,0.2872600787207802
Random Forest (Ensemble),0.8338461538461538,0.9047815554383792,0.8516801853997682,0.8930741190765492,0.8718861209964412,0.6373904664909381
XGBoost (Ensemble),0.816923076923077,0.8782156603518854,0.8421052631578947,0.8748481166464156,0.8581644815256257,0.6011633125401995
